,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
96,Jean-Sebastien Dea,ARI,4,0,0,0,-2,0,0,1,1,2,3,0,1,1,1,2,33.33,2023
97,Owen Beck,MTL,1,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,2,33.33,2023
98,Marc McLaughlin,BOS,2,0,0,0,-1,1,2,3,1,0,2,0,0,0,6,5,54.55,2023
99,Anton Forsberg,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
100,Phillip Di Giuseppe,VAN,30,6,7,13,-3,7,14,71,14,14,52,5,10,10,1,3,25,2023
101,Will Cuylle,NYR,4,0,0,0,-2,2,10,1,0,2,8,1,2,0,0,2,0,2023
102,Ridly Greig,OTT,20,2,7,9,1,6,12,30,7,15,33,8,8,3,43,66,39.45,2023
103,Luke Philp,CHI,3,0,1,1,0,1,2,0,0,0,4,0,2,0,0,3,0,2023
104,Milos Kelemen,ARI,14,1,0,1,-5,6,23,12,5,7,26,2,0,6,1,2,33.33,2023
105,Samuel Bolduc,NYI,17,2,1,3,5,1,2,20,20,9,26,13,2,16,0,0,0,2023
106,Alex Turcotte,L.A,4,0,0,0,-2,1,5,2,1,2,1,2,1,0,6,8,42.86,2023
107,John Hayden,SEA,7,2,0,2,2,2,7,9,6,4,4,1,0,3,0,1,0,2023
108,Alex Belzile,MTL,31,6,8,14,0,5,13,40,14,13,27,13,8,22,96,109,46.83,2023
109,Jakob Pelletier,CGY,24,3,4,7,-5,1,2,48,17,18,15,10,12,13,2,6,25,2023
110,Dennis Cholowski,NYI,2,0,0,0,-1,0,0,0,6,1,0,1,0,1,0,0,0,2023
111,William Dufour,NYI,1,0,0,0,-2,0,0,0,0,0,1,1,0,0,0,1,0,2023
112,Kirill Marchenko,CBJ,59,21,4,25,-23,7,16,130,68,54,34,19,31,39,9,7,56.25,2023
113,Tim Berni,CBJ,59,1,2,3,-27,17,34,58,45,15,122,25,19,76,0,0,0,2023
114,Rafael Harvey-Pinard,MTL,34,14,6,20,7,5,10,58,20,20,57,17,11,56,0,1,0,2023
115,Jonathan Gruden,PIT,4,0,0,0,0,0,0,0,1,0,4,0,1,1,5,9,35.71,2023
116,Nolan Foote,N.J,6,1,0,1,2,0,0,4,0,3,5,0,2,3,0,2,0,2023
117,Taylor Fedun,PIT,5,0,0,0,0,0,0,7,7,4,3,0,0,6,0,0,0,2023
118,Joona Koppanen,BOS,5,0,1,1,0,2,4,2,2,0,8,3,4,2,25,19,56.82,2023
119,Jesse Ylonen,MTL,37,6,10,16,-11,0,0,43,27,10,14,20,10,28,3,3,50,2023
120,Vincent Desharnais,EDM,36,0,5,5,14,14,31,17,21,10,45,16,5,47,0,0,0,2023
121,Bobby McMann,TOR,10,0,1,1,-2,1,2,18,3,7,17,2,2,0,1,1,50,2023
122,Walker Duehr,CGY,27,7,4,11,0,2,4,47,18,14,55,3,5,4,1,6,14.29,2023
123,Chris Wagner,BOS,1,0,0,0,0,0,0,0,0,1,6,0,0,1,1,3,25,2023
124,Tom Wilson,WSH,33,13,9,22,-16,26,80,81,33,28,100,10,13,30,5,10,33.33,2023
