Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Curtis Lazar,BOS,70,7,8,15,-2,8,16,94,23,29,185,11,17,51,135,143,48.56,2022
Simon Benoit,ANA,53,1,4,5,-4,8,22,45,23,19,168,20,7,39,0,0,0,2022
Sam Carrick,ANA,64,11,8,19,-12,26,85,80,25,34,122,14,14,21,204,209,49.39,2022
Justin Bailey,VAN,14,0,0,0,-4,2,6,15,8,1,12,4,7,6,0,1,0,2022
Rem Pitlick,MIN,66,15,22,37,-7,12,24,65,12,20,25,40,31,28,53,65,44.92,2022
Austin Strand,L.A,9,0,2,2,-1,0,0,9,5,0,7,4,2,5,0,0,0,2022
Gabriel Carlsson,CBJ,39,2,7,9,4,5,10,18,16,4,27,4,7,33,1,0,100,2022
Scott Sabourin,OTT,7,0,2,2,-2,4,11,4,1,5,14,2,1,4,1,0,100,2022
Daniil Miromanov,VGK,13,0,1,1,0,1,2,15,11,6,5,2,1,6,0,0,0,2022
Reese Johnson,CHI,37,1,5,6,-13,5,16,24,10,12,141,6,13,14,107,105,50.47,2022
Jack Studnicka,BOS,16,0,3,3,-5,2,4,21,7,9,17,11,3,5,58,61,48.74,2022
Alexander Barabanov,S.J,71,10,29,39,-4,7,14,103,30,33,53,30,40,39,0,1,0,2022
Jonah Gadjovich,S.J,44,1,2,3,-10,18,74,36,16,17,104,10,7,14,1,2,33.33,2022
Oskar Steen,BOS,20,2,4,6,-1,3,6,25,9,9,32,5,8,8,1,5,16.67,2022
Calle Jarnkrok,SEA,66,12,17,29,-13,3,6,104,34,41,39,12,26,17,241,230,51.17,2022
